t,OF,Pcc,Tcc,Pe,Te,thrust,Isp,x,y,u,v,Ax,Ay,m_ox,n_ox,T_ox,P_ox,mdot_ox,rho_ox,m_f,n_f,T_f,P_f,mdot_f,rho_f,t_burn,Pcc_nominal,mdot_ox_nominal,OF_nominal,diameter,injector_Cd,dt,gamma,specific_gas_const,gas_const,
0,2.968147994,346.4473947,2749.197441,85005.33514,1424.270846,2083.366515,0,0,0,0,0,2.162577178,31.45883074,7,0.159043919,278,3778583.219,0.791506132,882.4013049,2.33,0.050575212,298,3619747.425,0.266666667,788.4091603,8.4,350,0.8,3,0.1524,0.4,0.083168317,1.2609,405.2079837,0.020519,
0.084848485,2.968147994,346.4473947,2749.197441,85005.33514,1424.270846,2083.366515,228.2018402,0.022437719,0.326399632,0.179857904,2.616378002,2.162577178,31.45883074,6.928634596,0.157422457,277.9292867,3778583.219,0.791506132,884.3324869,2.307821782,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
0.16969697,2.97202474,346.8612774,2751.277727,85125.65022,1425.876148,2086.267348,228.2506149,0.059864648,0.870985414,0.359962149,5.237456475,2.165539138,31.5153483,6.857197013,0.155799355,277.8580825,3781557.786,0.792539931,884.7990237,2.285643564,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
0.254545455,2.972959907,346.9610988,2751.782171,85154.74561,1426.265866,2086.984313,228.2624362,0.112276949,1.633684073,0.540117727,7.859514425,2.166156348,31.52712536,6.785758123,0.154176223,277.7864646,3781821.229,0.792789309,885.242054,2.263465347,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
0.339393939,2.976098536,347.2960716,2753.464979,85252.19426,1427.567111,2089.350604,228.3018527,0.179695924,2.614902117,0.720461187,10.48515739,2.168415412,31.57023087,6.714265138,0.152551863,277.7143656,3784111.249,0.793626276,885.7058333,2.241287129,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
0.424242424,2.977146359,347.4078844,2754.02691,85284.78313,1428.002044,2090.16634,228.3150087,0.262119804,3.814605778,0.900853087,13.11172466,2.168997856,31.58134457,6.642768444,0.150927418,277.6418394,3784472.2,0.793905696,886.1535601,2.219108911,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
0.509090909,2.979890824,347.7007048,2755.491461,85370.03831,1429.136596,2092.253071,228.3492772,0.359565615,5.233119925,1.081397612,15.74120416,2.170832974,31.61636071,6.571227458,0.149301967,277.568832,3786393.595,0.794637553,886.6176175,2.196930693,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
0.593939394,2.981003422,347.8193967,2756.083955,85404.40698,1429.596005,2093.13098,228.3631371,0.472035358,6.870422263,1.262009048,18.37147568,2.171637508,31.62588374,6.499681518,0.147676403,277.4953851,3786807.968,0.794934246,887.0696693,2.174752475,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
0.678787879,2.980922205,347.8107327,2756.041298,85402.05338,1429.562896,2093.12853,228.3621389,0.599523187,8.726383836,1.442595929,21.00097752,2.171342251,31.61662921,6.428159403,0.14605138,277.421528,3786119.486,0.794912588,887.513335,2.152574257,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
0.763636364,2.982305602,347.9583009,2756.78262,85444.90998,1430.138051,2094.224759,228.3794764,0.742037101,10.80115263,1.623238743,23.63140906,2.172014792,31.62780786,6.356626114,0.144426104,277.347213,3786777.765,0.795281494,887.9711452,2.13039604,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
0.848484848,2.982615761,347.9913837,2756.947869,85454.52175,1430.266299,2094.528493,228.3833402,0.899572433,13.09462929,1.803862799,26.26135401,2.171789238,31.62195704,6.285107532,0.142801162,277.2724661,3786444.488,0.795364203,888.4217386,2.108217822,0.050575212,298,3619747.425,0.266666667,788.4091603,,,,,,,,,,,
