t	OF	Pcc	Tcc
0	2.968147994	346.4473947	2749.197441
0.084848485	2.968147994	346.4473947	2749.197441
0.16969697	2.97202474	346.8612774	2751.277727
0.254545455	2.972959907	346.9610988	2751.782171
0.339393939	2.976098536	347.2960716	2753.464979
0.424242424	2.977146359	347.4078844	2754.02691
0.509090909	2.979890824	347.7007048	2755.491461
0.593939394	2.981003422	347.8193967	2756.083955
0.678787879	2.980922205	347.8107327	2756.041298
0.763636364	2.982305602	347.9583009	2756.78262
0.848484848	2.982615761	347.9913837	2756.947869
0.933333333	2.984120187	348.1518416	2757.747055
1.018181818	2.984660987	348.2095175	2758.034566
1.103030303	2.986211239	348.374838	2758.859161
1.187878788	2.986891288	348.4473533	2759.220623
1.272727273	2.986845137	348.4424322	2759.199319
1.357575758	2.987706103	348.5342342	2759.656294
1.442424242	2.987883298	348.5531272	2759.746644
1.527272727	2.988853119	348.6565279	2760.261706
1.612121212	2.989180598	348.6914414	2760.436772
1.696969697	2.990211949	348.8013916	2760.983176
1.781818182	2.990639494	348.8469688	2761.211179
1.866666667	2.991699973	348.9600122	2761.772925
1.951515152	2.992191755	349.0124313	2762.03245
2.036363636	2.992177184	349.0108783	2762.027158
2.121212121	2.992753485	349.0723041	2762.328979
2.206060606	2.992844129	349.0819652	2762.376646
2.290909091	2.993473213	349.1490136	2762.710056
2.375757576	2.993636639	349.1664312	2762.799934
2.460606061	2.994294421	349.236534	2763.143854
2.545454545	2.99450548	349.2590269	2763.260099
2.63030303	2.99517326	349.3301907	2763.609037
2.715151515	2.995412044	349.3556366	2763.735896
2.8	2.996075001	349.4262818	2764.089776
2.884848485	2.996325444	349.4529682	2764.221834
2.96969697	2.996971593	349.5218178	2764.559792
3.054545455	2.997220491	349.5483379	2764.691709
3.139393939	2.997839953	349.6143397	2765.018859
3.224242424	2.99807627	349.6395177	2765.145489
3.309090909	2.998660751	349.7017884	2765.451374
3.393939394	2.998875104	349.724625	2765.567336
3.478787879	2.999417507	349.7824095	2765.85193
3.563636364	2.999601791	349.8020414	2765.946833
3.648484848	3.000095937	349.8546822	2766.210235
3.733333333	3.000243035	349.870352	2766.283981
3.818181818	3.000683445	349.9172662	2766.5157
3.903030303	3.000787016	349.9282987	2766.573573
3.987878788	3.001168747	349.9689607	2766.773649
4.072727273	3.001223048	349.9747448	2766.800008
4.157575758	3.001541565	350.0086722	2766.968415
4.242424242	3.002105145	350.0687008	2767.268264
4.327272727	3.00234221	350.0939507	2767.389272
4.412121212	3.002813195	350.1441141	2767.636422
4.496969697	3.002966622	350.1604549	2767.720477
4.581818182	3.003343497	350.2005931	2767.915067
4.666666667	3.003928164	350.2628596	2768.225048
4.751515152	3.004197193	350.2915101	2768.366901
4.836363636	3.004665403	350.3413711	2768.613677
4.921212121	3.004826105	350.3584843	2768.697687
5.006060606	3.005177741	350.3959295	2768.881478
5.090909091	3.005707177	350.4523065	2769.159612
5.175757576	3.005931225	350.4761636	2769.275081
5.260606061	3.006326096	350.5182093	2769.484879
5.345454545	3.006879973	350.5771839	2769.773335
5.43030303	3.007130947	350.6039058	2769.904427
5.515151515	3.007534912	350.646916	2770.114115
5.6	3.008081138	350.7050707	2770.402273
5.684848485	3.008327062	350.7312527	2770.533195
5.76969697	3.008709956	350.7720159	2770.732247
5.854545455	3.009219991	350.826313	2770.99925
5.939393939	3.00943226	350.84891	2771.109213
6.024242424	3.009766913	350.8845346	2771.287138
6.109090909	3.010214874	350.9322198	2771.517359
6.193939394	3.010767443	350.9910383	2771.810215
6.278787879	3.011021143	351.0180427	2771.940959
6.363636364	3.011375483	351.0557586	2772.129137
6.448484848	3.011822325	351.1033191	2772.359104
6.533333333	3.01235383	351.1598888	2772.636043
6.618181818	3.012585677	351.1845642	2772.761365
6.703030303	3.012898693	351.2178779	2772.923253
6.787878788	3.013285458	351.2590394	2773.126838
6.872727273	3.013738782	351.307283	2773.36172
6.957575758	3.014251695	351.3618662	2773.627869
7.042424242	3.014817425	351.4220676	2773.925128
7.127272727	3.015429384	351.4871858	2774.243168
7.212121212	3.015732518	351.5194409	2774.399535
7.296969697	3.016079115	351.5563199	2774.581901
7.381818182	3.01646277	351.5971409	2774.779901
7.466666667	3.016877219	351.6412371	2774.9986
7.551515152	3.017316321	351.6879548	2775.227703
7.636363636	3.017774047	351.7366524	2775.462001
7.721212121	3.018244467	351.7866988	2775.70656
7.806060606	3.018721737	351.8374722	2775.956173
7.890909091	3.019200087	351.8883586	2776.205768
7.975757576	3.019673808	351.9387508	2776.450151
8.060606061	3.02013724	351.988047	2776.694328
8.145454545	3.020584763	352.0356491	2776.922983
8.23030303	3.021010779	352.0809622	2777.146253
8.315151515	3.021716657	352.1560396	2777.514808
8.4	3.022381896	352.2267911	2777.857329
